Model,FR-DE 2019 Original,DE-FR 2019 Original,FR-DE 2021 Original,DE-FR 2021 Original,avg_original_avg,Random FR-DE 2019 Clean-Corrupted,Random DE-FR 2019 Clean-Corrupted,Random FR-DE 2021 Clean-Corrupted,Random DE-FR 2021 Clean-Corrupted,random_avg_clean_corrputed_avg,Random FR-DE 2019 Corrupted-Clean,Random DE-FR 2019 Corrupted-Clean,Random FR-DE 2021 Corrupted-Clean,Random DE-FR 2021 Corrupted-Clean,random_avg_corrupted_clean_avg,Random FR-DE 2019 Corrupted-Corrupted,Random DE-FR 2019 Corrupted-Corrupted,Random FR-DE 2021 Corrupted-Corrupted,Random DE-FR 2021 Corrupted-Corrupted,random_avg_corrupted_corrupted_avg,OCR FR-DE 2019 Clean-Corrupted,OCR DE-FR 2019 Clean-Corrupted,OCR FR-DE 2021 Clean-Corrupted,OCR DE-FR 2021 Clean-Corrupted,ocr_avg_clean_corrputed_avg,OCR FR-DE 2019 Corrupted-Clean,OCR DE-FR 2019 Corrupted-Clean,OCR FR-DE 2021 Corrupted-Clean,OCR DE-FR 2021 Corrupted-Clean,ocr_avg_corrupted_clean_avg,OCR FR-DE 2019 Corrupted-Corrupted,OCR DE-FR 2019 Corrupted-Corrupted,OCR FR-DE 2021 Corrupted-Corrupted,OCR DE-FR 2021 Corrupted-Corrupted,ocr_avg_corrupted_corrupted_avg,Blackletter FR-DE 2019 Clean-Corrupted,Blackletter DE-FR 2019 Clean-Corrupted,Blackletter FR-DE 2021 Clean-Corrupted,Blackletter DE-FR 2021 Clean-Corrupted,blackletter_avg_clean_corrputed_avg,Blackletter FR-DE 2019 Corrupted-Clean,Blackletter DE-FR 2019 Corrupted-Clean,Blackletter FR-DE 2021 Corrupted-Clean,Blackletter DE-FR 2021 Corrupted-Clean,blackletter_avg_corrupted_clean_avg,Blackletter FR-DE 2019 Corrupted-Corrupted,Blackletter DE-FR 2019 Corrupted-Corrupted,Blackletter FR-DE 2021 Corrupted-Corrupted,Blackletter DE-FR 2021 Corrupted-Corrupted,blackletter_avg_corrupted_corrupted_avg,STS17_es_en,STS17_ar_en,STS17_tr_en,STS17_avg
e5,89.75,92.46,83.43,86.90,88.13,71.83,76.99,66.07,72.68,71.89,85.54,76.24,79.84,65.40,76.75,69.52,69.93,65.06,67.30,67.95,84.11,88.53,76.48,84.55,83.42,91.24,89.61,87.46,82.87,87.80,83.50,86.69,75.59,80.63,81.60,71.89,78.55,67.08,76.71,73.56,87.03,73.79,87.35,65.29,78.36,72.51,74.75,65.17,70.88,70.83,76.56,71.27,63.30,70.38
mpnet,91.24,91.65,93.17,91.49,91.89,72.23,73.93,70.32,72.68,72.29,87.98,87.58,87.01,87.79,87.59,68.84,69.11,66.52,68.20,68.17,84.79,88.12,84.21,88.80,86.48,91.85,88.66,93.17,87.57,90.31,83.84,84.93,83.09,83.76,83.91,72.37,75.63,69.20,79.51,74.18,89.61,79.77,90.93,82.64,85.74,71.76,71.08,67.41,73.91,71.04,86.11,80.85,74.90,80.62
